,match,0
32819727,12,ATCC 25922 
32819727,13,ATCC 13883 
32819244,0,ATCC 25922 
32819244,1,ATCC 25922 
32818768,0,ATCC 29212 
32817803,0,ATCC 25923 
32817803,1,ATCC 25923 
32817803,2,ATCC 25923 
32817585,0,ATCC 18364 
32817585,1,ATCC 201935 
32817585,2,ATCC 20216 
32816982,0,ATCC 49987 
32816982,1,ATCC 49987 
32816982,2,ATCC 49987 
32815129,0,ATCC 33277 
32815129,1,ATCC 33277 
32812861,0,ATCC 25578 
32812861,1,ATCC 25946 
32812861,2,ATCC 25944 
32811579,0,ATCC 25923 
32811579,1,ATCC 27853 
32811579,2,ATCC 10231 
32811579,3,ATCC 33592 
32810554,0,ATCC 19977 
32810554,1,ATCC 6841 
32810554,2,ATCC 48898 
32810554,3,ATCC 700084 
32807097,0,ATCC 14579 
32806321,0,ATCC 10245 
32804603,0,ATCC 25527 
32801796,0,ATCC 25922 
32801551,0,ATCC 2091 
32801551,1,ATCC 2091 
32800691,0,ATCC 27853 
32799724,0,ATCC 23344 
32799627,0,ATCC 25416 
32798366,0,ATCC 367 
32796690,0,ATCC 35984 
32796690,1,ATCC 35984 
32793131,0,ATCC 53103 
32792848,0,ATCC 10231 
32792848,1,ATCC 22019 
32788409,0,ATCC 39324 
32788409,1,ATCC 27853 
32768529,0,ATCC 33197 
32768232,0,ATCC  
32767847,0,ATCC 25922 
32767847,1,ATCC 25922 
32767847,2,ATCC 25922 
32766662,0,ATCC 27853 
32765020,0,ATCC 10145 
32765020,1,ATCC 10145 
32764104,0,ATCC 842 
32763926,0,ATCC 21799 
32763926,1,ATCC 31831 
32763926,2,ATCC 13032 
32763413,0,ATCC 25922 
32763413,1,ATCC 25923 
32759442,0,ATCC 53103 
32759405,0,ATCC 25923 
32759405,1,ATCC 25923 
32758667,0,ATCC 638 
32758403,0,ATCC 20542 
32758054,0,ATCC 25175 
32758049,0,ATCC  
32754144,0,ATCC 13047 
32754144,1,ATCC 13047 
32754144,2,ATCC 13047 
32753308,0,ATCC 25922 
32753308,1,ATCC 25923 
32752245,0,ATCC 7966 
32751380,0,ATCC 17699 
32750671,0,ATCC 25611 
32750539,0,ATCC 27294 
32749064,0,ATCC 90028 
32749064,1,ATCC 10231 
32748076,0,ATCC 19374 
32747267,0,ATCC 53582 
32747267,1,ATCC 53582 
32746897,0,ATCC 25922 
32746897,1,ATCC 27853 
32746897,2,ATCC 25923 
32745757,0,ATCC 8739 
32745508,0,ATCC 29213 
32744988,0,ATCC 35469 
32735923,0,ATCC 9372 
32733416,0,ATCC 28707 
32733400,0,ATCC 27853 
32731717,0,ATCC 14990 
32731717,1,ATCC 14990 
32731187,0,ATCC 43300 
32731187,1,ATCC 29213 
32731187,2,ATCC 25922 
32728855,0,ATCC 15313 
32728792,0,ATCC 367 
32728792,1,ATCC 367 
32726813,0,ATCC 11775E 
32726813,1,ATCC 25922 
32726813,2,ATCC 8739 
32722488,0,ATCC 9950 
32722196,0,ATCC 9545 
32722196,1,ATCC 9545were 
32722062,0,ATCC 23769 
32722062,1,ATCC 23769 
32722025,0,ATCC 8739 
32722025,1,ATCC 8739 
32721450,0,ATCC 25285 
32721450,1,ATCC 25285 
32721450,2,ATCC 25285 
